,Dataset,model_name,Stats,Normal_f1_score,SMOTE_f1_score,ADASYN_f1_score,SG_f1_score,AG_f1_score,G_f1_score
2,,random_forest_classifier,mean,0.9644860160162062,0.9643928923542816,0.9648153099038146,0.9667494922207891,0.9656651096011549,0.9666654335777398
3,,,std,0.003261551739734502,0.0025199588447548877,0.002789423770909135,0.0026242463972496,0.0032370543640036628,0.002902654468831457
4,,simple_vector_classifier,mean,0.963448886817872,0.9674543985496805,0.9686513593989763,0.9694356539435499,0.9687380395125739,0.9709953530245363
5,,,std,0.0,0.0017360328959741729,0.0007381065449860392,0.002870970794234543,0.0029043624404315503,0.002160352911687329
0,Tsd,logistic_regression_classifier,mean,0.784330937984321,0.6825522215881369,0.6921077233830187,0.7860886081312869,0.786615566962693,0.7883557164502022
1,,,std,0.0,0.006016062093943395,0.0075525941505845615,0.00440814982629184,0.004678811293596535,0.0059007844433923845
2,,random_forest_classifier,mean,0.7855578589380424,0.7871208191960324,0.7893986643830839,0.7859068395934705,0.7844590075636043,0.7839298516093821
3,,,std,0.004247342771419925,0.00498988115669029,0.005068056797861519,0.003941534931445233,0.0036994238652704645,0.004113843806289784
4,,simple_vector_classifier,mean,0.7825874296894105,0.24083537450249418,0.7845774231285111,0.7811487026443965,0.7816360089970378,0.7819373985443872
5,,,std,0.0,0.08482822431110514,0.0033749077570071175,0.0018605944210519788,0.0027968976587975235,0.0024667845477381913
0,Drd,logistic_regression_classifier,mean,0.7425002875172186,0.7456085539942198,,0.7426523879711967,,0.7452974833642032
1,,,std,0.0,0.00281293791074391,,0.004604334203427438,,0.004976686559732318
2,,random_forest_classifier,mean,0.6831221519825551,0.6836811993518237,,0.6822190100004132,,0.6821858954788348
3,,,std,0.005933890187532183,0.006600512698247559,,0.006622494244179868,,0.006611527875458016
4,,simple_vector_classifier,mean,0.6937894874573117,0.6880996824701796,,0.6833501163229024,,0.6832798111341523
5,,,std,0.0,0.0018234360642479554,,0.002758027288231232,,0.0021783968080752412
0,Fhs,logistic_regression_classifier,mean,0.7868926785596758,0.674024790112874,0.6995247917284183,0.7867863208116066,0.7887730158983989,0.7876692455973597
1,,,std,0.0,0.004291402919589704,0.0027905713868673224,0.004185698399499191,0.0035048976421004395,0.0035377597779842947
2,,random_forest_classifier,mean,0.7917680844506311,0.794039985662332,0.7941838156153757,0.792099271350825,0.7915940887952543,0.7916670545229632
3,,,std,0.002097266126444042,0.0023403515733533852,0.0032328080904523698,0.002196385655358404,0.002521805497890365,0.001997050986012034
4,,simple_vector_classifier,mean,0.778777173380605,0.7015475250941082,0.7257600901956565,0.7811208340498444,0.7811638244199475,0.7811208340498444
5,,,std,0.0,0.002110107934384074,0.0011402229099570819,0.000117733977304479,0.0001967638565744014,0.00011773397730447792
