,Dataset,model_name,Stats,Normal_auc,SMOTE_auc,ADASYNC_auc,SG_auc,AG_auc,G_auc
2,,random_forest_classifier,mean,0.5263630932930635,0.7424166234669267,0.7453474658322206,0.5243558019009892,0.5239845850402487,0.5224166337581617
3,,,std,0.001259333511644768,0.00530379010098044,0.006209032202859087,0.001801484503438851,0.0018204884389416644,0.0014276347208982845
4,,simple_vector_classifier,mean,0.5,0.7722878997485838,0.7726992930090966,0.5634784672037788,0.577424662032493,0.6168899656031344
5,,,std,0.0,0.0008076991258521739,0.0006188628020805052,0.034721211465041486,0.01929258789136113,0.03758366141729714
0,Lying_Down_Result,logistic_regression_classifier,mean,0.4999836104540737,0.7467185011317234,0.7468922386539912,0.6379713949886039,0.6259802626261244,0.5786165022666974
1,,,std,7.075086508222879e-05,0.0003156111124198622,0.000563047312211828,0.038034431202243604,0.0608782549083273,0.04590030904564805
2,,random_forest_classifier,mean,0.5490056462312258,0.7823931716817674,0.7851147609735437,0.5498131377832494,0.548792690284671,0.5490268795532228
3,,,std,0.001565430176226411,0.003033995753607985,0.002613931532398039,0.001737549506611211,0.0013759994232043743,0.001107733522947893
4,,simple_vector_classifier,mean,0.5,0.7722877220365454,0.7727004357461184,0.5634790660440121,0.5774221692579818,0.6168914267855515
5,,,std,0.0,0.0008079495801342135,0.0006180493370067891,0.03472072673758571,0.019292867544916575,0.03758432906473872
0,On_All_Fours_Result,logistic_regression_classifier,mean,0.4999844867717907,0.746718644193642,0.7468934137446764,0.6379713491856513,0.6259806549113712,0.5786171746613274
1,,,std,6.965214752033528e-05,0.00031564173665596336,0.0005607141426983691,0.03803444333878289,0.06087980365638028,0.04589968358688074
2,,random_forest_classifier,mean,0.6857162629683182,0.8769017217791489,0.8827466944173763,0.6827956894768489,0.6831578425871354,0.6820308308986641
3,,,std,0.0036043939092472695,0.002317586280973468,0.002350472337489058,0.002423933155290176,0.0022766015659336745,0.003331399884030374
4,,simple_vector_classifier,mean,0.5,0.7722874869014159,0.7726997067547259,0.5634778101231225,0.577421301444517,0.6168908409971862
5,,,std,0.0,0.0008067679656805133,0.0006181931135054826,0.034721495831270606,0.019293427691659606,0.037584696870240276
0,Standing_Up_From_Lying_Result,logistic_regression_classifier,mean,0.49901871149635113,0.8027074708782109,0.778050740648053,0.7317439347834698,0.6941471047186288,0.7301409176818069
1,,,std,6.468178292633736e-06,0.000348691085727718,0.0025077110166681544,0.04138432480954249,0.07331444972541588,0.04215655998198148
2,,random_forest_classifier,mean,0.9510166489071222,0.9724112003754974,0.9729544200477326,0.9513270285958348,0.9508965183089227,0.9520811589170632
3,,,std,0.00029709378539956874,0.0004057693798301975,0.0008417544897366186,0.0012790120616115556,0.00054174188979128,0.0009508644973399172
4,,simple_vector_classifier,mean,0.5,0.5784652510736972,0.5678913863067783,0.5052500077218954,0.5176322037273201,0.5159866863049463
5,,,std,0.0,0.0026107228728617466,0.0019116061919129854,0.009782802663741423,0.008852389967663441,0.014766457838388166
0,Sitting_On_The_Ground_Result,logistic_regression_classifier,mean,0.4990198640653083,0.8027072121177717,0.7780505949340193,0.7317461859360666,0.6941471696920591,0.7301415120939896
1,,,std,6.682846452174672e-06,0.00034624624375923966,0.002508299828576308,0.04138426780075691,0.07331550064010679,0.04215786984103823
2,,random_forest_classifier,mean,0.951015030779641,0.9724110484070388,0.9729530943906406,0.9513280342481041,0.950896330902751,0.9520810049227274
3,,,std,0.00029788553543755243,0.00040517956142649745,0.000842680267835477,0.0012803299965771133,0.0005395083671538107,0.0009509475247795031
4,,simple_vector_classifier,mean,0.5,0.8174060980288995,0.7970675824566166,0.7022947735279415,0.7142519803967667,0.7493164920279041
5,,,std,0.0,0.0014097510063489623,0.000874153157850352,0.0570887927007691,0.022875140745290307,0.04004299833223874
